Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packet Length Max,Bwd Packet Length Max,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Average Packet Size
8080,60378.89861228844,29.347019478079424,27.222688140553863,191.98113241008855,753.0262415116256,0.0,23160.45935715722,521.8892585632004,544.3784100964983
443,23914.60190315113,135.2507895782454,106.80164603318586,349.53271225967643,64.9158591006919,3087012.6401094995,19347.240049879954,195.8893473982473,195.47643045289325
8080,34469.540992348324,28.104810565590103,33.10775092010153,1003.4300615881368,671.6291329966587,1941549.1695088532,0.0,846.1334165379457,930.5818931939863
3389,65259.44482153467,6.685883713533904,2.300977665069232,299.4716388928199,38.120075706876975,469232.78603479534,29570.318086153697,125.59945404363515,181.03638368480156
445,85476.98152861136,13.455985415547483,31.385810267673335,261.67962030002576,464.99244700276097,2969152.6973709324,5196.1743583005555,358.7600826148898,428.4154822885608
445,148515.0841415196,11.801430043363698,23.962617282155396,352.1757799412119,362.03197326723375,0.0,0.0,357.3984110555214,376.72749869461506
443,0.0,5.266069713362534,2.317672575706939,169.41806992869806,155.9147370821117,0.0,23174.85909975877,119.8434922987677,148.20334040865927
80,8946.08375350952,12.83047493756188,11.264942960561564,594.6772435080911,598.1621406363145,0.0,29139.168353373414,558.6923272788563,619.1533393987697
80,11859.398784942463,16.076668307651065,5.444026237780468,301.04027441939985,397.138578570932,0.0,1585.6993318200907,308.66769390021295,395.5901224904175
443,54946.29071990204,15.007145662833123,5.81020691290545,376.11343775388985,1368.1112922026225,4120175.612420044,0.0,883.3938045019795,998.9611962623769
57534,0.0,41.34744455798527,38.9657362505062,415.6538433767757,315.6414446966615,53960082.48563461,141017.47142764265,382.451006506244,378.0606706485536
80,0.0,7.411455170715044,8.65664232815239,133.84184436567,135.55228153062822,0.0,15495.992712585092,158.50664353672252,133.7737431586849
22,386007.45102231007,31.371864493413874,38.804488839486744,366.51392151936057,33.38599484061512,0.0,17185.206262973606,207.56094226963066,188.44809824852175
62770,33067.56301176884,13.599052347834679,8.000841681196373,398.2832468586643,518.396802872655,42963097.00941184,94409.02573067797,428.2612715633266,493.82283858863644
443,10257.683124834524,7.525446450625372,3.7381199186834966,218.38685080177189,693.8466835362401,0.0,6069.842324059992,443.4391446037519,540.7871892672833
21,116587.43102365776,34.00641061584652,10.993239597918357,336.54210197262796,53.99868724515122,1143917.17071808,20351.65295115684,157.21035220482236,163.85304836515687
80,49631.03864062662,15.445107947660398,30.481291245675482,242.15326077926366,776.7078749313696,0.0,0.0,489.4275956751164,569.1501546813892
